Ensembl Gene ID	Associated Gene Name	Gene Biotype
ENSMUSG00000095309	Vmn1r125	protein_coding
ENSMUSG00000000126	Wnt9a	protein_coding
ENSMUSG00000086196	Gm13571	antisense
ENSMUSG00000054418	2900041M22Rik	processed_transcript
ENSMUSG00000095268	Gm2913	protein_coding
ENSMUSG00000082399	Gm14036	pseudogene
ENSMUSG00000097090	Gm26724	lincRNA
ENSMUSG00000020063	Sirt1	protein_coding
ENSMUSG00000029623	Pdap1	protein_coding
ENSMUSG00000073944	Olfr619	protein_coding
ENSMUSG00000097523	1700022N22Rik	lincRNA
ENSMUSG00000085419	Gm11734	lincRNA
ENSMUSG00000083879	Gm14038	pseudogene
ENSMUSG00000080198	Gm13573	pseudogene
ENSMUSG00000001555	Fkbp10	protein_coding
ENSMUSG00000094221	Vmn1r124	protein_coding
ENSMUSG00000032855	Pkd1	protein_coding
ENSMUSG00000044292	Olfr978	protein_coding
ENSMUSG00000097518	Gm26694	lincRNA
ENSMUSG00000081243	Gm14037	pseudogene
ENSMUSG00000095264	Gm2854	protein_coding
ENSMUSG00000082330	Ldha-ps	pseudogene
ENSMUSG00000085336	Gm11732	processed_transcript
ENSMUSG00000097732	D930048G16Rik	lincRNA
ENSMUSG00000073945	Olfr618	protein_coding
ENSMUSG00000086603	Gm13620	lincRNA
ENSMUSG00000087585	Gm14100	lincRNA
ENSMUSG00000094385	Vmn1r123	protein_coding
ENSMUSG00000030245	Golt1b	protein_coding
ENSMUSG00000083705	Gm8624	pseudogene
ENSMUSG00000096540	Gm2863	protein_coding
ENSMUSG00000087181	Gm13570	pseudogene
ENSMUSG00000047352	Olfr976	protein_coding
ENSMUSG00000078954	Arhgap8	protein_coding
ENSMUSG00000086588	Gm11729	lincRNA
ENSMUSG00000094001	Vmn1r122	protein_coding
ENSMUSG00000073946	Olfr617	protein_coding
ENSMUSG00000085975	Gm13572	lincRNA
ENSMUSG00000097006	9530082P21Rik	lincRNA
ENSMUSG00000086050	Gm16045	antisense
ENSMUSG00000085718	Rpl9-ps3	pseudogene
ENSMUSG00000081236	Gm13574	pseudogene
ENSMUSG00000094115	Spin2-ps6	protein_coding
ENSMUSG00000015468	Notch4	protein_coding
ENSMUSG00000084052	Gm11745	pseudogene
ENSMUSG00000081157	Gm13552	pseudogene
ENSMUSG00000078984	Gm11027	protein_coding
ENSMUSG00000021273	Fdft1	protein_coding
ENSMUSG00000017670	Elmo2	protein_coding
ENSMUSG00000087057	Gm11730	antisense
ENSMUSG00000094680	Vmn1r121	protein_coding
ENSMUSG00000097517	Gm26695	lincRNA
ENSMUSG00000047544	Olfr616	protein_coding
ENSMUSG00000080982	Gm13549	pseudogene
ENSMUSG00000094727	Gm2825	protein_coding
ENSMUSG00000025816	Sec61a2	protein_coding
ENSMUSG00000085707	Gm12212	antisense
ENSMUSG00000096975	Gm16386	lincRNA
ENSMUSG00000002129	Sf3a1	protein_coding
ENSMUSG00000083276	Gm13551	pseudogene
