Ensembl Gene ID	Associated Gene Source	Gene Biotype
ENSMUSG00000064372	MGI Symbol	Mt_tRNA
ENSMUSG00000064371	MGI Symbol	Mt_tRNA
ENSMUSG00000064370	MGI Symbol	protein_coding
ENSMUSG00000064369	MGI Symbol	Mt_tRNA
ENSMUSG00000064368	MGI Symbol	protein_coding
ENSMUSG00000064367	MGI Symbol	protein_coding
ENSMUSG00000064366	MGI Symbol	Mt_tRNA
ENSMUSG00000064365	MGI Symbol	Mt_tRNA
ENSMUSG00000064364	MGI Symbol	Mt_tRNA
ENSMUSG00000064363	MGI Symbol	protein_coding
ENSMUSG00000065947	MGI Symbol	protein_coding
ENSMUSG00000064361	MGI Symbol	Mt_tRNA
ENSMUSG00000064360	MGI Symbol	protein_coding
ENSMUSG00000064359	MGI Symbol	Mt_tRNA
ENSMUSG00000064358	MGI Symbol	protein_coding
ENSMUSG00000064357	MGI Symbol	protein_coding
ENSMUSG00000064356	MGI Symbol	protein_coding
ENSMUSG00000064355	MGI Symbol	Mt_tRNA
ENSMUSG00000064354	MGI Symbol	protein_coding
ENSMUSG00000064353	MGI Symbol	Mt_tRNA
ENSMUSG00000064352	MGI Symbol	Mt_tRNA
ENSMUSG00000064351	MGI Symbol	protein_coding
ENSMUSG00000064350	MGI Symbol	Mt_tRNA
ENSMUSG00000064349	MGI Symbol	Mt_tRNA
ENSMUSG00000064348	MGI Symbol	Mt_tRNA
ENSMUSG00000064347	MGI Symbol	Mt_tRNA
ENSMUSG00000064346	MGI Symbol	Mt_tRNA
ENSMUSG00000064345	MGI Symbol	protein_coding
ENSMUSG00000064344	MGI Symbol	Mt_tRNA
ENSMUSG00000064343	MGI Symbol	Mt_tRNA
ENSMUSG00000064342	MGI Symbol	Mt_tRNA
ENSMUSG00000064341	MGI Symbol	protein_coding
ENSMUSG00000064340	MGI Symbol	Mt_tRNA
ENSMUSG00000064339	MGI Symbol	Mt_rRNA
ENSMUSG00000064338	MGI Symbol	Mt_tRNA
ENSMUSG00000064337	MGI Symbol	Mt_rRNA
ENSMUSG00000064336	MGI Symbol	Mt_tRNA
ENSMUSG00000021213	MGI Symbol	protein_coding
ENSMUSG00000081321	MGI Symbol	pseudogene
ENSMUSG00000082884	MGI Symbol	pseudogene
ENSMUSG00000100870	Clone-based (Vega)	pseudogene
ENSMUSG00000079415	MGI Symbol	protein_coding
ENSMUSG00000101943	Clone-based (Vega)	lincRNA
ENSMUSG00000095551	MGI Symbol	protein_coding
ENSMUSG00000092631	MGI Symbol	pseudogene
ENSMUSG00000100103	Clone-based (Vega)	pseudogene
ENSMUSG00000031870	MGI Symbol	protein_coding
ENSMUSG00000083882	MGI Symbol	pseudogene
ENSMUSG00000100409	Clone-based (Vega)	lincRNA
ENSMUSG00000091792	MGI Symbol	protein_coding
ENSMUSG00000084203	MGI Symbol	pseudogene
ENSMUSG00000045996	MGI Symbol	protein_coding
ENSMUSG00000094264	MGI Symbol	pseudogene
ENSMUSG00000101540	Clone-based (Vega)	protein_coding
ENSMUSG00000097473	MGI Symbol	pseudogene
ENSMUSG00000082962	MGI Symbol	pseudogene
ENSMUSG00000021339	MGI Symbol	protein_coding
ENSMUSG00000021346	MGI Symbol	protein_coding
ENSMUSG00000083186	MGI Symbol	pseudogene
ENSMUSG00000056329	MGI Symbol	processed_transcript
ENSMUSG00000101775	Clone-based (Vega)	lincRNA
ENSMUSG00000082289	MGI Symbol	pseudogene
ENSMUSG00000074491	MGI Symbol	protein_coding
ENSMUSG00000099550	MGI Symbol	protein_coding
ENSMUSG00000073255	MGI Symbol	protein_coding
ENSMUSG00000081720	MGI Symbol	pseudogene
ENSMUSG00000038408	MGI Symbol	lincRNA
ENSMUSG00000050295	MGI Symbol	protein_coding
ENSMUSG00000080894	MGI Symbol	pseudogene
ENSMUSG00000038812	MGI Symbol	protein_coding
ENSMUSG00000100422	Clone-based (Vega)	lincRNA
ENSMUSG00000102026	Clone-based (Vega)	lincRNA
ENSMUSG00000100508	Clone-based (Vega)	lincRNA
ENSMUSG00000040044	MGI Symbol	protein_coding
ENSMUSG00000093695	MGI Symbol	processed_transcript
ENSMUSG00000079273	MGI Symbol	pseudogene
ENSMUSG00000086877	MGI Symbol	processed_transcript
ENSMUSG00000038319	MGI Symbol	protein_coding
ENSMUSG00000099457	Clone-based (Vega)	pseudogene
ENSMUSG00000093788	MGI Symbol	pseudogene
ENSMUSG00000022304	MGI Symbol	protein_coding
ENSMUSG00000100184	Clone-based (Vega)	pseudogene
ENSMUSG00000024679	MGI Symbol	protein_coding
ENSMUSG00000080998	MGI Symbol	pseudogene
ENSMUSG00000023143	MGI Symbol	protein_coding
ENSMUSG00000090577	MGI Symbol	pseudogene
ENSMUSG00000067813	MGI Symbol	protein_coding
ENSMUSG00000101110	Clone-based (Vega)	lincRNA
ENSMUSG00000101066	Clone-based (Vega)	pseudogene
ENSMUSG00000082486	MGI Symbol	pseudogene
ENSMUSG00000053178	MGI Symbol	protein_coding
ENSMUSG00000101259	Clone-based (Vega)	pseudogene
ENSMUSG00000054611	MGI Symbol	protein_coding
ENSMUSG00000101561	Clone-based (Vega)	sense_intronic
ENSMUSG00000100771	Clone-based (Vega)	pseudogene
ENSMUSG00000100054	Clone-based (Vega)	lincRNA
ENSMUSG00000079697	MGI Symbol	protein_coding
ENSMUSG00000084363	MGI Symbol	pseudogene
